metroID,metroName,City,State,09WhiteCount,09BlackCount,09HispCount,09AsianCount,09OtherCount,09TotalCount,09WhitePerc,09BlackPerc,09HispPerc,09AsianPerc,09OtherPerc,09WhiteBlackDiss,09WhiteHispDiss,09WhiteAsianDiss,09BlackHispDiss,09BlackAsianDiss,09HispAsianDiss,00WhitsCount,00BlackCount,00HispCount,00AsianCount,00OtherCount,00TotalCount,00WhitePerc,00BlackPerc,00HispPerc,00AsianPerc,00OtherPerc,00WhiteBlackDiss,00WhiteHispDiss,00WhiteAsianDiss,00BlackHispDiss,00BlackAsianDiss,00HispAsianDiss,90WhitsCount,90BlackCount,90HispCount,90AsianCount,90OtherCount,90TotalCount,90WhitePerc,90BlackPerc,90HispPerc,90AsianPerc,90OtherPerc,90WhiteBlackDiss,90WhiteHispDiss,90WhiteAsianDiss,90BlackHispDiss,90BlackAsianDiss,90HispAsianDiss,80WhitsCount,80BlackCount,80HispCount,80AsianCount,80OtherCount,80TotalCount,80WhitePerc,80BlackPerc,80HispPerc,80AsianPerc,80OtherPerc,80WhiteBlackDiss,80WhiteHispDiss,80WhiteAsianDiss,80BlackHispDiss,80BlackAsianDiss,80HispAsianDiss
47020,"Victoria, TX Metropolitan Statistical Area",Victoria,TX,57291,5819,47483,1618,1385,113596,50.43,5.12,41.8,1.42,1.22,47.1,34.04,45.23,26.5,69.87,56.91,59379,6205,43846,1491,742,111663,53.18,5.56,39.27,1.34,0.66,42.27,34.84,39.37,19.47,60.06,56.96,58276,5567,34410,778,363,99394,58.63,5.6,34.62,0.78,0.37,44.6,33.46,53.03,22.02,74.07,66.35,42815,4619,20944,142,287,68807,62.22,6.71,30.44,0.21,0.42,50.45,41.27,29.65,15.61,51.55,46.18
47220,"Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area",Vineland-Millville-Bridgeton,NJ,83004,30706,36454,1842,3260,155266,53.46,19.78,23.48,1.19,2.1,48.25,47.56,40.78,41.24,56.12,48.38,85510,29429,27823,1648,2028,146438,58.39,20.1,19,1.13,1.38,40.88,48.44,27.92,41.95,44.52,44.64,95129,22167,18348,1063,1346,138053,68.91,16.06,13.29,0.77,0.97,40.52,45.75,37.87,47.46,51.85,52.81,98735,19449,12525,819,1338,132866,74.31,14.64,9.43,0.62,1.01,41.28,50.41,42.81,56.34,58.55,64.13
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",Virginia Beach-Norfolk-Newport News,VA,986975,525992,70635,53097,32915,1669614,59.11,31.5,4.23,3.18,1.97,46.61,37.12,40.07,43.36,52.78,40.81,962574,497415,49014,52332,15035,1576370,61.06,31.55,3.11,3.32,0.95,46.09,31.57,33.99,40.41,49.25,27.95,952854,401488,31141,32663,5236,1423382,66.94,28.21,2.19,2.29,0.37,49.55,30.03,35.69,49.73,57.06,28.04,796566,332934,18013,16638,5540,1169691,68.1,28.46,1.54,1.42,0.47,59.74,29.56,37.7,53.19,67.33,28.18
47300,"Visalia-Porterville, CA Metropolitan Statistical Area",Visalia-Porterville,CA,151281,5714,235858,14144,9302,416299,36.34,1.37,56.66,3.4,2.23,53.82,39.02,43.64,57.41,59.39,40.85,153916,5945,186846,13522,7792,368021,41.82,1.62,50.77,3.67,2.12,40.65,40.16,39.05,49.46,48,35.27,170283,4305,120893,12468,3972,311921,54.59,1.38,38.76,4,1.27,50.71,38.89,42.45,55.98,57.38,38.14,159996,3448,73298,4595,4401,245738,65.11,1.4,29.83,1.87,1.79,61.35,36.57,45.14,53.8,68.87,41.41
47380,"Waco, TX Metropolitan Statistical Area",Waco,TX,139407,33904,49189,3228,2641,228369,61.04,14.85,21.54,1.41,1.16,52.26,46.97,59.01,37.39,71.84,70.87,138008,32842,38233,2749,1685,213517,64.64,15.38,17.91,1.29,0.79,51.09,45.06,40.35,31.08,54.5,51.78,134507,29036,23643,1323,614,189123,71.12,15.35,12.5,0.7,0.32,52.23,41.79,38.14,39.37,57.89,46.94,127585,27068,14988,520,594,170755,74.72,15.85,8.78,0.3,0.35,61.93,42.07,37.56,53.45,65.03,45.73
47580,"Warner Robins, GA Metropolitan Statistical Area",Warner Robins,GA,84574,35770,5249,2580,2737,130910,64.6,27.32,4.01,1.97,2.09,25.09,22.86,19.74,23.17,27.2,26.97,76391,27746,3363,2325,940,110765,68.97,25.05,3.04,2.1,0.85,30.42,20.24,15.43,29.96,31.79,13.24,67175,19279,1459,993,302,89208,75.3,21.61,1.64,1.11,0.34,38.7,16.8,20.48,42.66,42.71,13.72,60050,15687,1043,447,378,77605,77.38,20.21,1.34,0.58,0.49,42.94,19.54,28.11,41.61,55.79,21.99
47644,"Warren-Troy-Farmington Hills, MI Metropolitan Division",Warren-Troy-Farmington Hills,MI,2069047,206513,65248,95087,38656,2474551,83.61,8.35,2.64,3.84,1.56,63.41,40.97,53.31,61.28,66.14,63.83,2081695,154821,49711,76702,28466,2391395,87.05,6.47,2.08,3.21,1.19,68.13,30.94,46.28,56.22,65.58,50.81,1969711,91196,32632,34734,8722,2136995,92.17,4.27,1.53,1.63,0.41,76.73,27.8,44.15,62.35,73.67,48.11,1902144,60079,25288,17459,10516,2015486,94.38,2.98,1.25,0.87,0.52,80.51,29.9,40.99,67.17,79.27,49.67
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Washington-Arlington-Alexandria,DC,2046324,1224931,493929,321803,74953,4161940,49.17,29.43,11.87,7.73,1.8,65.32,46.76,39.14,56.5,67.29,43.02,1961955,1147462,324420,255611,38117,3727565,52.63,30.78,8.7,6.86,1.02,65.95,47.71,36.72,59.42,65.19,37.18,1943621,949085,169564,136470,12172,3210912,60.53,29.56,5.28,4.25,0.38,68.35,43.24,34.17,61.95,68.28,34.88,1608319,805962,71280,56903,24727,2567191,62.65,31.39,2.78,2.22,0.96,71.43,32.27,30.98,64.02,70.71,26.8
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Washington-Arlington-Alexandria,DC,2731703,1397939,649004,456785,96866,5332297,51.23,26.22,12.17,8.57,1.82,62.32,47.15,39.58,53.2,63.36,41.17,2653239,1298788,429688,365941,48527,4796183,55.32,27.08,8.96,7.63,1.01,62.97,47.4,37.22,55.69,62.01,36.24,2633338,1047651,227452,199181,15291,4122913,63.87,25.41,5.52,4.83,0.37,65.47,41.76,34.54,59.35,66.08,33.4,2196229,863348,95128,79981,31212,3265898,67.25,26.44,2.91,2.45,0.96,69.69,31.5,30.94,63.67,69.71,26.06
47940,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",Waterloo-Cedar Falls,IA,144614,10495,3795,1597,2539,163040,88.7,6.44,2.33,0.98,1.56,65.28,46.23,52.47,44.56,75.36,63.84,147256,11062,2561,1792,1035,163706,89.95,6.76,1.56,1.09,0.63,68.07,39.77,28.98,39.82,64.98,41.97,147593,8564,1018,1129,336,158640,93.04,5.4,0.64,0.71,0.21,71.47,25.89,36.1,63.53,76.47,34.62,127321,8530,946,651,513,137961,92.29,6.18,0.69,0.47,0.37,75.24,19.43,28.86,63.76,79.47,34.68
48140,"Wausau, WI Metropolitan Statistical Area",Wausau,WI,119227,602,1709,6746,1519,129803,91.85,0.46,1.32,5.2,1.17,60.13,39.57,53.42,60.81,64.5,51.34,117517,522,979,6083,733,125834,93.39,0.41,0.78,4.83,0.58,36.34,20.51,52.29,31.48,27.01,44.62,111927,87,470,2429,487,115400,96.99,0.08,0.41,2.1,0.42,36.66,28.16,65.04,35.09,53.34,50.4,110269,35,281,183,502,111270,99.1,0.03,0.25,0.16,0.45,49.92,24.43,31.11,52.26,58.52,35.34
48300,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",Wenatchee-East Wenatchee,WA,77935,345,25285,768,2480,106813,72.96,0.32,23.67,0.72,2.32,59.97,25.47,40.48,50.02,56.95,42.35,76769,314,19264,1042,1830,99219,77.37,0.32,19.42,1.05,1.84,30.29,29.55,14.99,26.43,27.99,30.03,69608,116,7507,516,708,78455,88.72,0.15,9.57,0.66,0.9,26.66,30.92,24.37,36.55,23.8,38.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",West Palm Beach-Boca Raton-Boynton Beach,FL,801254,198376,218335,27750,17242,1262957,63.44,15.71,17.29,2.2,1.37,59.26,43.42,34.78,48.64,59.47,48.29,793297,163618,140187,20259,7731,1125092,70.51,14.54,12.46,1.8,0.69,65.22,42.55,27.54,51.35,59.9,40.1,677458,103184,66205,8619,1494,856960,79.05,12.04,7.73,1.01,0.17,75.32,41.91,30.93,61.14,71.93,42.03,466760,76271,28503,2008,3297,576839,80.92,13.22,4.94,0.35,0.57,83.34,43.14,28.86,68.16,80.78,47.32
48540,"Wheeling, WV-OH Metropolitan Statistical Area",Wheeling,WV,137619,4487,930,845,2061,145942,94.3,3.07,0.64,0.58,1.41,64.13,53.22,51.58,56.94,81.4,72.82,145907,4897,740,883,745,153172,95.26,3.2,0.48,0.58,0.49,53.56,23.16,38.66,52.31,59.43,39.6,154822,3176,569,538,196,159301,97.19,1.99,0.36,0.34,0.12,52.67,28.84,44.94,57.24,60.61,50.08,179860,3947,993,448,318,185566,96.93,2.13,0.54,0.24,0.17,54.56,25.18,38.35,58.48,62.01,42.59
48620,"Wichita, KS Metropolitan Statistical Area",Wichita,KS,459265,44764,55707,19141,17766,596643,76.97,7.5,9.34,3.21,2.98,62.14,41.19,53.91,55.97,55.49,56.5,454620,46002,41282,18012,11250,571166,79.6,8.05,7.23,3.15,1.97,58.63,42.46,43.64,51.2,42.88,44.47,439620,36539,20681,8950,5321,511111,86.01,7.15,4.05,1.75,1.04,64.23,34.33,44.88,59.61,48.43,44.55,386702,32249,13057,4396,5440,441844,87.52,7.3,2.96,0.99,1.23,72.69,33.43,39.05,69.76,60.33,39.5
