metroid,metroname,m_w_a_09,m_b_a_09,m_h_a_09,m_a_a_09,m_o_a_09,m_t_a_09,m_pw_a_09,m_pb_a_09,m_ph_a_09,m_pa_a_09,m_po_a_09,m_dwb_a_09,m_dwh_a_09,m_dwa_a_09,m_dbw_a_09,m_dbh_a_09,m_dba_a_09,m_dhw_a_09,m_dhb_a_09,m_dha_a_09,m_daw_a_09,m_dab_a_09,m_dah_a_09,m_w_a_00,m_b_a_00,m_h_a_00,m_a_a_00,m_o_a_00,m_t_a_00,m_pw_a_00,m_pb_a_00,m_ph_a_00,m_pa_a_00,m_po_a_00,m_dwb_a_00,m_dwh_a_00,m_dwa_a_00,m_dbw_a_00,m_dbh_a_00,m_dba_a_00,m_dhw_a_00,m_dhb_a_00,m_dha_a_00,m_daw_a_00,m_dab_a_00,m_dah_a_00,m_w_a_90,m_b_a_90,m_h_a_90,m_a_a_90,m_o_a_90,m_t_a_90,m_pw_a_90,m_pb_a_90,m_ph_a_90,m_pa_a_90,m_po_a_90,m_dwb_a_90,m_dwh_a_90,m_dwa_a_90,m_dbw_a_90,m_dbh_a_90,m_dba_a_90,m_dhw_a_90,m_dhb_a_90,m_dha_a_90,m_daw_a_90,m_dab_a_90,m_dah_a_90,m_w_a_80,m_b_a_80,m_h_a_80,m_a_a_80,m_o_a_80,m_t_a_80,m_pw_a_80,m_pb_a_80,m_ph_a_80,m_pa_a_80,m_po_a_80,m_dwb_a_80,m_dwh_a_80,m_dwa_a_80,m_dbw_a_80,m_dbh_a_80,m_dba_a_80,m_dhw_a_80,m_dhb_a_80,m_dha_a_80,m_daw_a_80,m_dab_a_80,m_dah_a_80
"31,140","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","1,000,258","163,967","35,602","16,860","18,789","1,235,476",80.96,13.27,2.88,1.36,1.52,58.96,45.13,55.57,58.96,56.56,69.90,45.13,56.56,58.07,55.57,69.90,58.07,"965,119","154,335","19,506","14,147","8,868","1,161,975",83.06,13.28,1.68,1.22,0.76,62.68,34.19,39.49,62.68,53.27,60.43,34.19,53.27,34.07,39.49,60.43,34.07,"912,249","129,035","6,646","5,817","2,226","1,055,973",86.39,12.22,0.63,0.55,0.21,68.73,26.12,39.52,68.73,60.37,65.74,26.12,60.37,33.30,39.52,65.74,33.30,"777,743","117,166","5,476","3,143","2,624","906,152",85.83,12.93,0.60,0.35,0.29,73.62,22.51,35.85,73.62,63.20,73.23,22.51,63.20,34.82,35.85,73.23,34.82
"31,180","Lubbock, TX Metropolitan Statistical Area","159,345","19,111","83,603","3,674","3,564","269,297",59.17,7.10,31.04,1.36,1.32,52.71,41.01,39.71,52.71,39.05,68.62,41.01,39.05,58.61,39.71,68.62,58.61,"155,006","19,056","70,069","3,623","1,946","249,700",62.08,7.63,28.06,1.45,0.78,53.61,43.67,34.24,53.61,37.28,59.67,43.67,37.28,55.16,34.24,59.67,55.16,"155,283","16,943","54,122","2,624",968,"229,940",67.53,7.37,23.54,1.14,0.42,59.30,46.70,36.93,59.30,44.76,67.10,46.70,44.76,63.40,36.93,67.10,63.40,"151,854","15,558","41,428","1,562","1,249","211,651",71.75,7.35,19.57,0.74,0.59,67.28,53.71,30.67,67.28,53.55,72.48,53.71,53.55,64.03,30.67,72.48,64.03
"31,340","Lynchburg, VA Metropolitan Statistical Area","189,559","43,174","3,601","2,498","3,677","242,509",78.17,17.80,1.48,1.03,1.52,37.63,38.08,50.16,37.63,54.60,63.53,38.08,54.60,43.15,50.16,63.53,43.15,"180,489","42,487","2,177","1,907","1,556","228,616",78.95,18.58,0.95,0.83,0.68,36.06,22.66,37.58,36.06,33.31,52.40,22.66,33.31,30.60,37.58,52.40,30.60,"166,115","37,669","1,183",875,384,"206,226",80.55,18.27,0.57,0.42,0.19,37.55,26.62,36.32,37.55,41.50,53.72,26.62,41.50,33.55,36.32,53.72,33.55,"155,695","36,139","1,281",605,458,"194,178",80.18,18.61,0.66,0.31,0.24,39.73,22.17,45.63,39.73,30.14,62.13,22.17,30.14,52.42,45.63,62.13,52.42
"31,420","Macon, GA Metropolitan Statistical Area","123,544","97,653","3,985","2,336","2,270","229,788",53.76,42.50,1.73,1.02,0.99,53.97,38.73,60.04,53.97,47.59,71.36,38.73,47.59,59.07,60.04,71.36,59.07,"123,882","92,276","2,886","2,227","1,097","222,368",55.71,41.50,1.30,1.00,0.49,53.46,24.93,35.40,53.46,37.77,59.39,24.93,37.77,40.90,35.40,59.39,40.90,"123,880","80,259","1,286",868,323,"206,616",59.96,38.84,0.62,0.42,0.16,49.74,28.74,35.92,49.74,44.75,62.75,28.74,44.75,46.40,35.92,62.75,46.40,"120,570","75,643","1,520",486,264,"198,483",60.75,38.11,0.77,0.24,0.13,52.52,32.56,36.21,52.52,30.68,63.28,32.56,30.68,48.62,36.21,63.28,48.62
"31,460","Madera-Chowchilla, CA Metropolitan Statistical Area","59,419","5,851","72,444","2,766","4,314","144,794",41.04,4.04,50.03,1.91,2.98,52.45,46.52,41.70,52.45,40.96,50.91,46.52,40.96,45.35,41.70,50.91,45.35,"57,391","5,145","54,515","2,241","3,817","123,109",46.62,4.18,44.28,1.82,3.10,60.31,49.27,30.48,60.31,40.45,44.39,49.27,40.45,36.24,30.48,44.39,36.24,"52,974","2,294","30,400","1,084","1,338","88,090",60.14,2.60,34.51,1.23,1.52,53.68,45.31,29.04,53.68,25.47,37.09,45.31,25.47,26.18,29.04,37.09,26.18,"42,136","2,072","16,916",567,"1,425","63,116",66.76,3.28,26.80,0.90,2.26,49.04,43.84,33.75,49.04,33.77,45.37,43.84,33.77,27.85,33.75,45.37,27.85
"31,540","Madison, WI Metropolitan Statistical Area","477,383","21,640","24,216","20,945","10,659","554,843",86.04,3.90,4.36,3.77,1.92,51.80,39.66,45.79,51.80,34.91,45.49,39.66,34.91,41.46,45.79,45.49,41.46,"445,501","20,271","15,289","16,986","3,727","501,774",88.79,4.04,3.05,3.39,0.74,47.69,38.72,47.51,47.69,20.99,38.81,38.72,20.99,31.42,47.51,38.81,31.42,"405,342","10,543","6,150","8,691","1,597","432,323",93.76,2.44,1.42,2.01,0.37,52.14,31.07,54.51,52.14,32.93,50.40,31.07,32.93,40.15,54.51,50.40,40.15,"309,134","5,648","3,280","3,241","2,242","323,545",95.55,1.75,1.01,1.00,0.69,45.41,25.30,46.79,45.41,30.58,43.19,25.30,30.58,38.03,46.79,43.19,38.03
"31,700","Manchester-Nashua, NH Metropolitan Statistical Area","356,641","7,795","19,769","12,285","6,086","402,576",88.59,1.94,4.91,3.05,1.51,53.22,40.61,45.58,53.22,46.65,53.63,40.61,46.65,50.37,45.58,53.63,50.37,"351,337","5,623","12,166","8,770","2,945","380,841",92.25,1.48,3.19,2.30,0.77,36.88,46.94,33.32,36.88,25.04,29.41,46.94,25.04,41.97,33.32,29.41,41.97,"323,113","2,738","5,696","3,762",764,"336,073",96.14,0.81,1.69,1.12,0.23,32.21,35.10,29.23,32.21,23.03,29.41,35.10,23.03,37.77,29.23,29.41,37.77,"271,293","1,322","2,224",972,797,"276,608",98.08,0.48,0.80,0.35,0.29,33.02,29.25,28.77,33.02,30.50,40.81,29.25,30.50,42.01,28.77,40.81,42.01
"31,740","Manhattan, KS Metropolitan Statistical Area","94,987","9,998","6,815","3,448","3,800","119,048",79.79,8.40,5.72,2.90,3.19,47.04,37.65,26.80,47.04,28.24,45.03,37.65,28.24,39.26,26.80,45.03,39.26,"86,429","11,456","5,645","3,907","1,562","108,999",79.29,10.51,5.18,3.58,1.43,50.28,34.99,28.50,50.28,18.46,35.41,34.99,18.46,27.36,28.50,35.41,27.36,"90,632","13,757","4,891","3,574",866,"113,720",79.70,12.10,4.30,3.14,0.76,53.92,35.78,30.92,53.92,18.31,38.62,35.78,18.31,28.92,30.92,38.62,28.92,,,,,,,,,,,,,,,,,,,,,,,
"31,860","Mankato-North Mankato, MN Metropolitan Statistical Area","84,546","1,669","2,127","1,797","1,438","91,577",92.32,1.82,2.32,1.96,1.57,41.18,28.64,40.06,41.18,55.34,43.42,28.64,55.34,49.82,40.06,43.42,49.82,"81,025","1,147","1,523","1,549",468,"85,712",94.53,1.34,1.78,1.81,0.55,36.09,22.55,36.52,36.09,31.72,16.57,22.55,31.72,31.98,36.52,16.57,31.98,"79,913",332,683,989,203,"82,120",97.31,0.40,0.83,1.20,0.25,50.95,15.78,35.61,50.95,43.50,28.85,15.78,43.50,30.51,35.61,28.85,30.51,,,,,,,,,,,,,,,,,,,,,,,
"31,900","Mansfield, OH Metropolitan Statistical Area","109,122","11,990","1,458",846,"2,375","125,791",86.75,9.53,1.16,0.67,1.89,61.67,44.33,65.88,61.67,46.47,84.64,44.33,46.47,73.69,65.88,84.64,73.69,"112,910","12,886","1,200",876,980,"128,852",87.63,10.00,0.93,0.68,0.76,62.63,23.96,26.68,62.63,47.06,65.56,23.96,47.06,34.70,26.68,65.56,34.70,"114,444","9,914",903,572,304,"126,137",90.73,7.86,0.72,0.45,0.24,66.95,24.89,31.75,66.95,48.41,68.80,24.89,48.41,39.33,31.75,68.80,39.33,"120,326","9,245",990,346,298,"131,205",91.71,7.05,0.75,0.26,0.23,70.35,25.76,32.88,70.35,49.18,66.55,25.76,49.18,39.33,32.88,66.55,39.33
