metroid,metroname,m_w_a_09,m_b_a_09,m_h_a_09,m_a_a_09,m_o_a_09,m_t_a_09,m_pw_a_09,m_pb_a_09,m_ph_a_09,m_pa_a_09,m_po_a_09,m_dwb_a_09,m_dwh_a_09,m_dwa_a_09,m_dbw_a_09,m_dbh_a_09,m_dba_a_09,m_dhw_a_09,m_dhb_a_09,m_dha_a_09,m_daw_a_09,m_dab_a_09,m_dah_a_09,m_w_a_00,m_b_a_00,m_h_a_00,m_a_a_00,m_o_a_00,m_t_a_00,m_pw_a_00,m_pb_a_00,m_ph_a_00,m_pa_a_00,m_po_a_00,m_dwb_a_00,m_dwh_a_00,m_dwa_a_00,m_dbw_a_00,m_dbh_a_00,m_dba_a_00,m_dhw_a_00,m_dhb_a_00,m_dha_a_00,m_daw_a_00,m_dab_a_00,m_dah_a_00,m_w_a_90,m_b_a_90,m_h_a_90,m_a_a_90,m_o_a_90,m_t_a_90,m_pw_a_90,m_pb_a_90,m_ph_a_90,m_pa_a_90,m_po_a_90,m_dwb_a_90,m_dwh_a_90,m_dwa_a_90,m_dbw_a_90,m_dbh_a_90,m_dba_a_90,m_dhw_a_90,m_dhb_a_90,m_dha_a_90,m_daw_a_90,m_dab_a_90,m_dah_a_90,m_w_a_80,m_b_a_80,m_h_a_80,m_a_a_80,m_o_a_80,m_t_a_80,m_pw_a_80,m_pb_a_80,m_ph_a_80,m_pa_a_80,m_po_a_80,m_dwb_a_80,m_dwh_a_80,m_dwa_a_80,m_dbw_a_80,m_dbh_a_80,m_dba_a_80,m_dhw_a_80,m_dhb_a_80,m_dha_a_80,m_daw_a_80,m_dab_a_80,m_dah_a_80
"10,180","Abilene, TX Metropolitan Statistical Area","111,007","10,649","31,849","2,048","3,557","159,110",69.77,6.69,20.02,1.29,2.24,49.66,37.64,44.96,49.66,32.64,56.42,37.64,32.64,54.40,44.96,56.42,54.40,"117,573","11,302","27,486","2,280","1,604","160,245",73.37,7.05,17.15,1.42,1.00,45.20,39.17,30.11,45.20,34.54,41.35,39.17,34.54,46.28,30.11,41.35,46.28,"117,214","7,989","20,786","1,404",611,"148,004",79.20,5.40,14.04,0.95,0.41,43.94,41.12,32.06,43.94,35.87,37.24,41.12,35.87,50.11,32.06,37.24,50.11,"114,111","7,350","16,106",791,834,"139,192",81.98,5.28,11.57,0.57,0.60,50.87,39.92,28.59,50.87,44.12,44.40,39.92,44.12,43.51,28.59,44.40,43.51
"10,420","Akron, OH Metropolitan Statistical Area","586,633","82,853","8,233","12,249","10,254","700,222",83.78,11.83,1.18,1.75,1.46,62.67,45.77,47.81,62.67,57.58,64.07,45.77,57.58,58.37,47.81,64.07,58.37,"593,445","80,180","5,874","10,403","5,058","694,960",85.39,11.54,0.85,1.50,0.73,64.81,25.71,36.49,64.81,46.66,56.84,25.71,46.66,28.00,36.49,56.84,28.00,"581,228","64,713","3,815","6,081","1,738","657,575",88.39,9.84,0.58,0.92,0.26,68.95,22.43,39.75,68.95,57.06,66.00,22.43,57.06,36.49,39.75,66.00,36.49,"591,572","59,947","3,500","2,936","2,373","660,328",89.59,9.08,0.53,0.44,0.36,73.59,23.69,34.80,73.59,59.15,76.87,23.69,59.15,38.43,34.80,76.87,38.43
"10,500","Albany, GA Metropolitan Statistical Area","76,720","81,567","2,479","1,441","1,509","163,716",46.86,49.82,1.51,0.88,0.92,53.51,49.93,51.00,53.51,59.57,70.25,49.93,59.57,55.91,51.00,70.25,55.91,"76,986","76,959","2,079","1,033",776,"157,833",48.78,48.76,1.32,0.65,0.49,54.30,31.71,28.05,54.30,36.76,56.64,31.71,36.76,36.40,28.05,56.64,36.40,"78,946","65,559","1,211",510,348,"146,574",53.86,44.73,0.83,0.35,0.24,55.85,33.33,33.86,55.85,45.28,58.88,33.33,45.28,34.79,33.86,58.88,34.79,"65,135","45,280","1,235",372,380,"112,402",57.95,40.28,1.10,0.33,0.34,67.50,46.18,28.49,67.50,35.25,64.99,46.18,35.25,37.01,28.49,64.99,37.01
"10,580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","724,844","57,421","27,989","23,934","17,974","852,162",85.06,6.74,3.28,2.81,2.11,64.03,41.35,47.96,64.03,38.58,61.92,41.35,38.58,49.55,47.96,61.92,49.55,"725,965","55,506","20,365","18,167","5,872","825,875",87.90,6.72,2.47,2.20,0.71,60.72,37.87,40.49,60.72,28.80,53.28,37.87,28.80,38.11,40.49,53.28,38.11,"747,189","37,725","12,153","10,252","2,124","809,443",92.31,4.66,1.50,1.27,0.26,61.55,32.05,40.93,61.55,39.86,57.88,32.05,39.86,36.29,40.93,57.88,36.29,"699,032","28,561","6,511","4,673","2,700","741,477",94.28,3.85,0.88,0.63,0.36,63.68,27.57,41.61,63.68,47.76,62.40,27.57,47.76,39.50,41.61,62.40,39.50
"10,740","Albuquerque, NM Metropolitan Statistical Area","364,322","21,906","370,025","15,887","59,033","831,173",43.83,2.64,44.52,1.91,7.10,43.53,36.82,39.90,43.53,41.52,49.65,36.82,41.52,54.64,39.90,49.65,54.64,"349,963","18,817","302,656","14,873","43,340","729,649",47.96,2.58,41.48,2.04,5.94,30.66,39.75,24.85,30.66,33.85,26.56,39.75,33.85,47.68,24.85,26.56,47.68,"327,238","13,188","222,307","7,306","29,377","599,416",54.59,2.20,37.09,1.22,4.90,38.02,40.50,25.66,38.02,40.46,31.64,40.50,40.46,51.19,25.66,31.64,51.19,"254,087","9,618","164,200","3,309","23,285","454,499",55.90,2.12,36.13,0.73,5.12,40.23,45.00,31.45,40.23,44.51,31.87,45.00,44.51,54.42,31.45,31.87,54.42
"10,780","Alexandria, LA Metropolitan Statistical Area","101,189","43,646","3,219","1,276","2,583","151,913",66.61,28.73,2.12,0.84,1.70,62.56,32.84,47.09,62.56,66.46,54.80,32.84,66.46,55.82,47.09,54.80,55.82,"98,918","40,971","1,952","1,324","1,870","145,035",68.20,28.25,1.35,0.91,1.29,62.03,24.85,42.82,62.03,54.92,54.33,24.85,54.92,42.22,42.82,54.33,42.22,"106,671","39,188","1,679",908,636,"149,082",71.55,26.29,1.13,0.61,0.43,58.81,18.76,42.91,58.81,51.85,63.63,18.76,51.85,31.86,42.91,63.63,31.86,"110,129","38,813","1,781",550,712,"151,985",72.46,25.54,1.17,0.36,0.47,64.20,25.71,39.77,64.20,49.19,66.30,25.71,49.19,29.45,39.77,66.30,29.45
"10,900","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","657,056","30,093","87,171","18,774","10,016","803,110",81.81,3.75,10.85,2.34,1.25,54.32,56.62,43.01,54.32,34.98,56.06,56.62,34.98,62.05,43.01,56.06,62.05,"646,834","21,669","54,358","13,265","4,269","740,395",87.36,2.93,7.34,1.79,0.58,50.43,59.98,35.70,50.43,28.74,40.72,59.98,28.74,49.88,35.70,40.72,49.88,"637,155","12,428","28,885","7,116","1,104","686,688",92.79,1.81,4.21,1.04,0.16,53.63,58.20,37.60,53.63,34.38,47.48,58.20,34.38,53.90,37.60,47.48,53.90,"606,640","8,774","15,379","3,001","1,687","635,481",95.46,1.38,2.42,0.47,0.27,58.75,56.18,36.06,58.75,38.55,56.10,56.18,38.55,59.59,36.06,56.10,59.59
"11,020","Altoona, PA Metropolitan Statistical Area","121,488","1,839",920,657,"1,080","125,984",96.43,1.46,0.73,0.52,0.86,48.83,41.96,67.62,48.83,52.86,70.70,41.96,52.86,76.54,67.62,70.70,76.54,"125,641","1,804",662,621,416,"129,144",97.29,1.40,0.51,0.48,0.32,47.77,26.32,28.30,47.77,33.24,50.03,26.32,33.24,33.07,28.30,50.03,33.07,"128,525","1,056",431,372,158,"130,542",98.45,0.81,0.33,0.28,0.12,51.34,28.17,38.53,51.34,49.39,53.06,28.17,49.39,33.59,38.53,53.06,33.59,"134,844",952,405,231,189,"136,621",98.70,0.70,0.30,0.17,0.14,56.78,20.73,26.73,56.78,57.50,55.33,20.73,57.50,35.20,26.73,55.33,35.20
"11,100","Amarillo, TX Metropolitan Statistical Area","161,163","13,926","56,847","4,941","4,982","241,859",66.64,5.76,23.50,2.04,2.06,64.37,47.20,56.35,64.37,47.12,72.45,47.20,47.12,58.69,56.35,72.45,58.69,"162,808","13,304","43,213","4,357","2,840","226,522",71.87,5.87,19.08,1.92,1.25,63.29,46.83,53.16,63.29,45.51,60.97,46.83,45.51,52.68,53.16,60.97,52.68,"156,350","9,553","25,799","3,071","1,371","196,144",79.71,4.87,13.15,1.57,0.70,63.67,44.92,63.58,63.67,53.35,60.89,44.92,53.35,58.49,63.58,60.89,58.49,"147,075","8,443","14,897","1,526","1,758","173,699",84.67,4.86,8.58,0.88,1.01,72.88,41.79,47.89,72.88,68.19,64.93,41.79,68.19,48.21,47.89,64.93,48.21
"11,180","Ames, IA Metropolitan Statistical Area","75,340","1,789","1,787","4,773","1,091","84,780",88.87,2.11,2.11,5.63,1.29,48.63,25.84,42.21,48.63,54.19,42.38,25.84,54.19,47.59,42.21,42.38,47.59,"72,221","1,655","1,238","4,447",420,"79,981",90.30,2.07,1.55,5.56,0.53,32.98,22.31,39.27,32.98,16.62,23.90,22.31,16.62,22.34,39.27,23.90,22.34,"68,666","1,170",840,"3,433",143,"74,252",92.48,1.58,1.13,4.62,0.19,43.19,37.02,44.50,43.19,16.43,28.56,37.02,16.43,22.15,44.50,28.56,22.15,"69,023",782,617,"1,228",676,"72,326",95.43,1.08,0.85,1.70,0.93,41.59,31.78,43.48,41.59,16.88,18.65,31.78,16.88,24.33,43.48,18.65,24.33
"11,260","Anchorage, AK Metropolitan Statistical Area","253,204","18,574","25,664","20,405","44,641","362,488",69.85,5.12,7.08,5.63,12.32,51.58,34.00,44.59,51.58,33.14,40.22,34.00,33.14,27.50,44.59,40.22,27.50,"233,157","18,234","16,284","21,298","30,632","319,605",72.95,5.71,5.10,6.66,9.58,42.35,28.98,35.42,42.35,22.71,27.54,28.98,22.71,18.09,35.42,27.54,18.09,"214,615","14,420","10,010","10,704","16,267","266,016",80.68,5.42,3.76,4.02,6.12,39.43,23.77,31.10,39.43,21.68,36.89,23.77,21.68,24.67,31.10,36.89,24.67,"145,808","9,112","5,217","3,871","10,357","174,365",83.62,5.23,2.99,2.22,5.94,39.01,22.31,18.77,39.01,24.14,31.83,22.31,24.14,17.28,18.77,31.83,17.28
"11,300","Anderson, IN Metropolitan Statistical Area","114,536","9,936","3,058",579,"2,906","131,015",87.42,7.58,2.33,0.44,2.22,61.71,43.61,64.00,61.71,48.28,80.28,43.61,48.28,74.92,64.00,80.28,74.92,"118,874","11,006","1,993",622,863,"133,358",89.14,8.25,1.49,0.47,0.65,57.67,27.94,24.17,57.67,48.48,59.31,27.94,48.48,37.57,24.17,59.31,37.57,"119,207","9,823",885,407,347,"130,669",91.23,7.52,0.68,0.31,0.27,74.07,25.79,30.63,74.07,65.26,77.42,25.79,65.26,37.68,30.63,77.42,37.68,"128,345","9,586",789,286,330,"139,336",92.11,6.88,0.57,0.21,0.24,77.03,25.90,30.02,77.03,70.96,75.61,25.90,70.96,40.25,30.02,75.61,40.25
"11,340","Anderson, SC Metropolitan Statistical Area","143,062","29,277","3,640","1,134","2,801","179,914",79.52,16.27,2.02,0.63,1.56,42.72,32.09,59.37,42.72,42.67,68.58,32.09,42.67,64.29,59.37,68.58,64.29,"134,151","27,920","1,832",948,889,"165,740",80.94,16.85,1.11,0.57,0.54,40.79,21.94,31.40,40.79,40.36,52.28,21.94,40.36,32.67,31.40,52.28,32.67,"120,013","24,097",559,334,193,"145,196",82.66,16.60,0.38,0.23,0.13,42.64,20.65,27.76,42.64,42.83,51.84,20.65,42.83,32.58,27.76,51.84,32.58,"109,320","22,625",825,246,219,"133,235",82.05,16.98,0.62,0.18,0.16,40.74,23.44,40.17,40.74,23.19,55.18,23.44,23.19,44.62,40.17,55.18,44.62
"11,460","Ann Arbor, MI Metropolitan Statistical Area","256,585","42,419","11,597","26,953","8,453","346,007",74.16,12.26,3.35,7.79,2.44,55.14,36.46,48.79,55.14,47.03,64.97,36.46,47.03,53.29,48.79,64.97,53.29,"245,033","42,450","8,839","22,443","4,130","322,895",75.89,13.15,2.74,6.95,1.28,51.30,27.07,49.32,51.30,38.40,56.14,27.07,38.40,36.97,49.32,56.14,36.97,"232,938","31,334","5,731","11,598","1,336","282,937",82.33,11.07,2.03,4.10,0.47,49.49,26.13,45.22,49.49,44.14,54.79,26.13,44.14,33.96,45.22,54.79,33.96,"224,512","28,118","4,055","5,511","2,552","264,748",84.80,10.62,1.53,2.08,0.96,48.89,27.31,40.50,48.89,44.18,53.32,27.31,44.18,29.64,40.50,53.32,29.64
"11,500","Anniston-Oxford, AL Metropolitan Statistical Area","85,467","22,191","2,725",864,"1,722","112,969",75.66,19.64,2.41,0.76,1.52,47.91,39.43,60.58,47.91,48.01,59.90,39.43,48.01,57.82,60.58,59.90,57.82,"87,598","21,043","1,753",887,968,"112,249",78.04,18.75,1.56,0.79,0.86,48.65,30.43,34.09,48.65,39.55,51.15,30.43,39.55,28.13,34.09,51.15,28.13,"92,154","21,476","1,282",814,308,"116,034",79.42,18.51,1.10,0.70,0.27,49.84,40.36,43.66,49.84,54.65,58.04,40.36,54.65,20.54,43.66,58.04,20.54,"96,643","20,970","1,329",453,366,"119,761",80.70,17.51,1.11,0.38,0.31,55.38,42.63,41.98,55.38,60.63,67.23,42.63,60.63,33.11,41.98,67.23,33.11
"11,540","Appleton, WI Metropolitan Statistical Area","200,249","1,614","5,723","5,581","4,847","218,014",91.85,0.74,2.63,2.56,2.22,54.69,27.59,46.02,54.69,52.79,55.73,27.59,52.79,44.28,46.02,55.73,44.28,"188,706","1,312","3,642","4,746","3,196","201,602",93.60,0.65,1.81,2.35,1.59,38.16,30.15,41.58,38.16,27.59,26.47,30.15,27.59,32.41,41.58,26.47,32.41,"169,303",220,"1,136","2,035","2,107","174,801",96.85,0.13,0.65,1.16,1.21,48.89,29.23,51.14,48.89,42.04,40.45,29.23,42.04,41.20,51.14,40.45,41.20,"156,213",71,785,419,"2,178","159,666",97.84,0.04,0.49,0.26,1.36,55.72,28.04,41.24,55.72,48.35,42.57,28.04,48.35,43.74,41.24,42.57,43.74
"11,700","Asheville, NC Metropolitan Statistical Area","353,891","20,068","19,519","3,204","6,282","402,964",87.82,4.98,4.84,0.80,1.56,53.47,42.26,46.92,53.47,55.81,57.63,42.26,55.81,52.72,46.92,57.63,52.72,"331,713","19,888","11,639","2,773","3,158","369,171",89.85,5.39,3.15,0.75,0.86,57.64,36.64,27.34,57.64,51.62,48.14,36.64,51.62,35.18,27.34,48.14,35.18,"286,222","17,409","2,345","1,114",911,"308,001",92.93,5.65,0.76,0.36,0.30,63.93,23.95,33.66,63.93,57.82,58.05,23.95,57.82,33.13,33.66,58.05,33.13,"161,810","13,987","1,118",326,520,"177,761",91.03,7.87,0.63,0.18,0.29,65.86,18.88,31.13,65.86,52.40,61.76,18.88,52.40,28.13,31.13,61.76,28.13
"12,020","Athens-Clarke County, GA Metropolitan Statistical Area","130,460","36,552","12,298","4,536","2,350","186,196",70.07,19.63,6.60,2.44,1.26,40.04,47.44,45.73,40.04,33.61,59.80,47.44,33.61,61.25,45.73,59.80,61.25,"118,537","34,385","7,950","4,184","1,023","166,079",71.37,20.70,4.79,2.52,0.62,43.72,49.12,40.42,43.72,33.70,54.27,49.12,33.70,56.75,40.42,54.27,56.75,"103,207","28,402","1,917","2,246",253,"136,025",75.87,20.88,1.41,1.65,0.19,43.84,22.20,44.53,43.84,40.17,55.94,22.20,40.17,36.67,44.53,55.94,36.67,"55,138","17,356",955,695,354,"74,498",74.01,23.30,1.28,0.93,0.48,52.04,20.40,21.20,52.04,39.35,61.39,20.40,39.35,29.75,21.20,61.39,29.75
"12,060","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","2,830,863","1,627,306","488,950","220,684","71,191","5,238,994",54.03,31.06,9.33,4.21,1.36,59.65,49.87,47.90,59.65,55.23,63.43,49.87,55.23,45.22,47.90,63.43,45.22,"2,565,490","1,230,191","270,407","149,753","32,140","4,247,981",60.39,28.96,6.37,3.53,0.76,63.91,51.57,45.29,63.91,57.31,62.43,51.57,57.31,39.25,45.29,62.43,39.25,"2,182,566","770,039","58,800","51,051","6,969","3,069,425",71.11,25.09,1.92,1.66,0.23,66.26,35.31,42.50,66.26,60.93,66.83,35.31,60.93,29.37,42.50,66.83,29.37,"1,493,024","494,409","23,386","11,403","7,488","2,029,710",73.56,24.36,1.15,0.56,0.37,76.94,30.30,34.52,76.94,62.48,78.04,30.30,62.48,28.96,34.52,78.04,28.96
"12,100","Atlantic City-Hammonton, NJ Metropolitan Statistical Area","165,480","43,086","39,322","17,664","4,464","270,016",61.29,15.96,14.56,6.54,1.65,58.28,43.64,50.55,58.28,35.47,58.19,43.64,35.47,41.31,50.55,58.19,41.31,"161,486","44,496","30,729","13,947","1,894","252,552",63.94,17.62,12.17,5.52,0.75,62.11,46.81,47.78,62.11,44.18,59.48,46.81,44.18,34.91,47.78,59.48,34.91,"165,233","37,734","16,117","4,565",678,"224,327",73.66,16.82,7.18,2.03,0.30,66.09,47.08,38.98,66.09,50.27,64.31,47.08,50.27,37.80,38.98,64.31,37.80,"151,259","33,635","7,590",916,704,"194,104",77.93,17.33,3.91,0.47,0.36,72.10,53.77,27.63,72.10,65.31,71.83,53.77,65.31,55.42,27.63,71.83,55.42
"12,220","Auburn-Opelika, AL Metropolitan Statistical Area","93,345","30,545","2,607","2,665","1,507","130,669",71.44,23.38,2.00,2.04,1.15,33.77,39.93,35.64,33.77,46.80,45.45,39.93,46.80,40.37,35.64,45.45,40.37,"84,298","26,251","1,645","2,140",758,"115,092",73.24,22.81,1.43,1.86,0.66,37.49,21.12,36.60,37.49,40.17,47.52,21.12,40.17,40.38,36.60,47.52,40.38,"64,527","20,359",552,"1,565",143,"87,146",74.04,23.36,0.63,1.80,0.16,37.67,19.89,33.83,37.67,39.70,57.68,19.89,39.70,28.91,33.83,57.68,28.91,"56,510","18,301",791,394,287,"76,283",74.08,23.99,1.04,0.52,0.38,49.40,25.20,43.71,49.40,31.45,68.60,25.20,31.45,49.10,43.71,68.60,49.10
"12,260","Augusta-Richmond County, GA-SC Metropolitan Statistical Area","308,475","188,455","16,008","8,193","7,510","528,641",58.35,35.65,3.03,1.55,1.42,43.80,32.34,48.59,43.80,39.51,62.52,32.34,39.51,54.98,48.59,62.52,54.98,"298,203","176,870","11,986","8,862","3,763","499,684",59.68,35.40,2.40,1.77,0.75,43.95,28.72,36.05,43.95,34.21,50.25,28.72,34.21,35.06,36.05,50.25,35.06,"281,417","142,189","5,766","5,315","1,076","435,763",64.58,32.63,1.32,1.22,0.25,43.89,34.14,41.53,43.89,44.85,55.06,34.14,44.85,28.90,41.53,55.06,28.90,"219,384","98,952","4,910","2,738","1,388","327,372",67.01,30.23,1.50,0.84,0.42,46.68,39.36,37.48,46.68,41.25,51.03,39.36,41.25,31.87,37.48,51.03,31.87
"12,420","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area","901,647","118,394","473,818","69,394","26,140","1,589,393",56.73,7.45,29.81,4.37,1.64,52.10,43.39,42.82,52.10,33.90,55.21,43.39,33.90,58.31,42.82,55.21,58.31,"758,302","101,518","327,760","49,599","12,584","1,249,763",60.68,8.12,26.23,3.97,1.01,51.16,45.63,40.05,51.16,31.97,53.80,45.63,31.97,54.14,40.05,53.80,54.14,"570,876","76,652","176,863","18,241","3,595","846,227",67.46,9.06,20.90,2.16,0.42,54.05,41.73,39.40,54.05,41.06,57.56,41.73,41.06,52.33,39.40,57.56,52.33,"383,947","49,523","94,367","4,344","4,507","536,688",71.54,9.23,17.58,0.81,0.84,64.77,45.49,35.11,64.77,54.40,67.03,45.49,54.40,53.45,35.11,67.03,53.45
"12,540","Bakersfield-Delano, CA Metropolitan Statistical Area","326,391","45,227","360,187","29,485","19,663","780,953",41.79,5.79,46.12,3.78,2.52,54.74,52.22,47.24,54.74,44.39,56.74,52.22,44.39,49.30,47.24,56.74,49.30,"327,190","40,606","254,036","25,656","14,157","661,645",49.45,6.14,38.39,3.88,2.14,50.71,53.77,40.25,50.71,45.42,45.85,53.77,45.42,47.68,40.25,45.85,47.68,"340,892","28,851","151,995","14,879","6,860","543,477",62.72,5.31,27.97,2.74,1.26,55.76,55.35,41.58,55.76,51.87,53.18,55.35,51.87,53.33,41.58,53.18,53.33,"281,559","20,779","87,066","6,706","7,466","403,576",69.77,5.15,21.57,1.66,1.85,63.49,54.39,45.66,63.49,59.06,63.08,54.39,59.06,55.09,45.66,63.08,55.09
"12,580","Baltimore-Towson, MD Metropolitan Statistical Area","1,676,383","764,370","87,057","100,139","42,038","2,669,987",62.79,28.63,3.26,3.75,1.57,66.46,43.91,44.89,66.46,58.50,64.93,43.91,58.50,48.85,44.89,64.93,48.85,"1,692,851","712,002","51,329","77,932","18,880","2,552,994",66.31,27.89,2.01,3.05,0.74,67.58,35.76,39.12,67.58,55.25,63.56,35.76,55.25,33.23,39.12,63.56,33.23,"1,690,963","611,974","30,137","41,715","7,263","2,382,052",70.99,25.69,1.27,1.75,0.30,71.36,30.13,38.31,71.36,61.12,67.81,30.13,61.12,30.87,38.31,67.81,30.87,"1,568,119","552,753","21,351","20,705","9,829","2,172,757",72.17,25.44,0.98,0.95,0.45,74.39,32.57,37.85,74.39,58.98,71.10,32.57,58.98,31.28,37.85,71.10,31.28
"12,620","Bangor, ME Metropolitan Statistical Area","141,632",988,"1,486","1,674","2,721","148,501",95.37,0.67,1.00,1.13,1.83,59.22,40.90,61.19,59.22,76.64,69.22,40.90,76.64,66.61,61.19,69.22,66.61,"139,461",982,882,"1,336","2,258","144,919",96.23,0.68,0.61,0.92,1.56,32.82,25.91,36.51,32.82,19.72,22.84,25.91,19.72,25.37,36.51,22.84,25.37,"143,163",522,701,915,"1,300","146,601",97.65,0.36,0.48,0.62,0.89,44.46,24.81,40.41,44.46,34.26,35.34,24.81,34.26,26.42,40.41,35.34,26.42,"134,668",276,414,352,"1,305","137,015",98.29,0.20,0.30,0.26,0.95,54.07,28.64,38.90,54.07,44.81,42.26,28.64,44.81,34.22,38.90,42.26,34.22
"12,700","Barnstable Town, MA Metropolitan Statistical Area","207,158","4,364","3,927","2,097","5,083","222,629",93.05,1.96,1.76,0.94,2.28,50.87,39.23,41.94,50.87,48.27,60.37,39.23,48.27,54.84,41.94,60.37,54.84,"207,518","5,092","3,000","1,882","4,738","222,230",93.38,2.29,1.35,0.85,2.13,35.08,23.09,18.94,35.08,18.89,29.66,23.09,18.89,20.03,18.94,29.66,20.03,"177,855","2,724","2,286",941,"2,693","186,499",95.37,1.46,1.23,0.50,1.44,37.50,25.69,24.76,37.50,21.36,29.83,25.69,21.36,23.86,24.76,29.83,23.86,,,,,,,,,,,,,,,,,,,,,,,
"12,940","Baton Rouge, LA Metropolitan Statistical Area","457,437","270,830","19,685","11,970","6,681","766,603",59.67,35.33,2.57,1.56,0.87,59.31,40.91,54.96,59.31,58.14,68.33,40.91,58.14,51.46,54.96,68.33,51.46,"438,132","241,769","11,582","10,324","4,166","705,973",62.06,34.25,1.64,1.46,0.59,60.07,30.30,52.09,60.07,54.16,66.22,30.30,54.16,40.02,52.09,66.22,40.02,"407,479","200,716","8,715","5,629","1,291","623,830",65.32,32.17,1.40,0.90,0.21,59.58,25.88,52.67,59.58,54.42,69.64,25.88,54.42,39.81,52.67,69.64,39.81,"344,563","136,302","8,427","2,526","2,250","494,068",69.74,27.59,1.71,0.51,0.46,68.17,23.92,41.45,68.17,54.88,70.08,23.92,54.88,35.62,41.45,70.08,35.62
"12,980","Battle Creek, MI Metropolitan Statistical Area","111,545","14,460","5,505","2,178","3,187","136,875",81.49,10.56,4.02,1.59,2.33,61.58,43.00,58.25,61.58,46.59,75.98,43.00,46.59,69.21,58.25,75.98,69.21,"113,723","16,161","4,351","1,823","1,927","137,985",82.42,11.71,3.15,1.32,1.40,60.22,34.05,41.52,60.22,40.08,67.68,34.05,40.08,49.15,41.52,67.68,49.15,"117,299","14,258","2,583","1,044",798,"135,982",86.26,10.49,1.90,0.77,0.59,63.03,28.54,38.48,63.03,49.35,69.17,28.54,49.35,50.32,38.48,69.17,50.32,"124,353","13,469","2,433",525,777,"141,557",87.85,9.51,1.72,0.37,0.55,70.25,32.77,30.94,70.25,51.44,72.88,32.77,51.44,46.24,30.94,72.88,46.24
"13,020","Bay City, MI Metropolitan Statistical Area","99,154","1,476","4,539",683,"1,926","107,778",92.00,1.37,4.21,0.63,1.79,51.52,31.51,44.46,51.52,40.24,60.88,31.51,40.24,59.30,44.46,60.88,59.30,"102,119","1,810","4,308",663,"1,257","110,157",92.70,1.64,3.91,0.60,1.14,43.27,28.89,23.48,43.27,27.50,36.87,28.89,27.50,29.97,23.48,36.87,29.97,"105,909","1,228","3,494",402,690,"111,723",94.80,1.10,3.13,0.36,0.62,48.78,29.53,29.22,48.78,32.28,51.19,29.53,32.28,39.96,29.22,51.19,39.96,"114,647","1,011","3,162",273,788,"119,881",95.63,0.84,2.64,0.23,0.66,50.69,29.44,34.28,50.69,33.18,57.65,29.44,33.18,50.86,34.28,57.65,50.86
"13,140","Beaumont-Port Arthur, TX Metropolitan Statistical Area","230,029","94,523","39,805","8,087","4,557","377,001",61.02,25.07,10.56,2.15,1.21,69.86,54.11,59.35,69.86,49.12,61.69,54.11,49.12,53.24,59.35,61.69,53.24,"246,500","95,973","30,832","8,729","3,056","385,090",64.01,24.92,8.01,2.27,0.79,69.55,50.20,53.68,69.55,48.68,57.57,50.20,48.68,36.29,53.68,57.57,36.29,"255,436","83,962","15,238","5,469","1,063","361,168",70.72,23.25,4.22,1.51,0.29,70.71,37.13,59.75,70.71,54.97,65.42,37.13,54.97,42.19,59.75,65.42,42.19,"277,183","80,926","12,529","2,956","1,340","374,934",73.93,21.58,3.34,0.79,0.36,75.52,35.05,54.97,75.52,62.29,73.32,35.05,62.29,45.90,54.97,73.32,45.90
"13,380","Bellingham, WA Metropolitan Statistical Area","162,000","1,878","12,967","7,172","8,869","192,886",83.99,0.97,6.72,3.72,4.60,35.98,20.94,28.45,35.98,49.02,33.41,20.94,49.02,32.69,28.45,33.41,32.69,"143,842","1,716","8,687","6,224","6,345","166,814",86.23,1.03,5.21,3.73,3.80,20.73,21.51,22.12,20.73,28.29,12.29,21.51,28.29,29.64,22.12,12.29,29.64,"117,159",621,"3,713","2,318","3,905","127,716",91.73,0.49,2.91,1.81,3.06,29.61,20.58,20.06,29.61,36.21,15.71,20.58,36.21,32.06,20.06,15.71,32.06,"99,845",319,"2,065",873,"3,599","106,701",93.57,0.30,1.94,0.82,3.37,28.42,19.97,22.56,28.42,41.45,17.88,19.97,41.45,36.91,22.56,17.88,36.91
"13,460","Bend, OR Metropolitan Statistical Area","135,982",563,"9,409","1,832","4,093","151,879",89.53,0.37,6.20,1.21,2.69,49.75,26.02,37.05,49.75,47.95,56.63,26.02,47.95,38.23,37.05,56.63,38.23,"107,177",397,"4,304","1,425","2,064","115,367",92.90,0.34,3.73,1.24,1.79,23.65,19.54,15.71,23.65,20.21,14.86,19.54,20.21,17.18,15.71,14.86,17.18,"72,303",78,"1,526",426,625,"74,958",96.46,0.10,2.04,0.57,0.83,28.84,12.43,20.12,28.84,32.10,27.70,12.43,32.10,16.95,20.12,27.70,16.95,,,,,,,,,,,,,,,,,,,,,,,
